[4.004619235431218],[7.490823971483012],[3.7913378471032173]
[3.9673214423969676],[7.447384887531299],[3.7812963962670856]
[3.948359299811488],[7.363237871525339],[3.7199660783976305]
[3.7625572938125655],[7.275239871226168],[3.795926434490176]
[3.7993805871160684],[7.22680383161839],[3.718815317673535]
[3.83629377038965],[7.177257225189216],[3.639326175181291]
[3.8547595383132993],[7.108842324304875],[3.5598883435378044]
[3.8918902894760348],[7.041836037436772],[3.4675238588362984]
[3.9105691774188704],[6.955914324839095],[3.370340946298528]
[3.910734156714356],[6.890395017130976],[3.3065249165150754]
[3.9109465134347476],[6.841761917654561],[3.255571582994901]
[3.9112055379229766],[6.77653402018783],[3.1917488874160735]
[3.874458320176676],[6.676641222386464],[3.1304633627383383]
[3.839497100289232],[6.5947548580548885],[3.112657757835495]
[3.8032614957621163],[6.492767392485468],[3.048923489876665]
[3.7668977970765303],[6.413196436447106],[3.0081686978516506]
[3.7126006662738646],[6.374087725918505],[3.0006037383354824]
[3.695185867529385],[6.283869457505949],[2.9493230488241733]
[3.5265504159039893],[6.037958226115029],[2.839625242148962]
[3.490599599763508],[5.774029936495161],[2.639400029665242]
[3.658194079446847],[5.582208619454494],[2.343473733900932]
[3.640585016436219],[5.430644179985993],[2.2343245019064444]
[3.660008310483934],[5.348087881967946],[2.1449054758754147]
[3.6642383976351476],[5.214554460573945],[2.0690230234859692]
[3.652216809649772],[5.0418425180161135],[1.9869664737115746]
[3.4381328367438813],[4.870158576736486],[2.036845744151911]
[3.4031544257393156],[4.699498171320678],[1.9365532170566215]
[3.3322070540929416],[4.510791567196962],[1.854761185425828]
[3.0762689280331417],[4.32313629725556],[1.8780657119171644]
[3.0113330475121813],[4.135513505009816],[1.8257734842858924]
[2.975645511626245],[3.9648765043245344],[1.727092612808565]
[3.0113330475121813],[3.9055371244293138],[1.655683937073107]
[3.047060770598572],[3.8462191208330516],[1.5869402718397412]
[2.8559395419368263],[3.731759124373474],[1.651783434284826]
[2.6773986214519363],[3.695691427697212],[1.8168006071377765]
[2.296302090306737],[3.484801659314962],[1.9800458191887378]
[2.0002302435690678],[3.3883813580015127],[2.147209479084159]
[1.8849544261605793],[3.3853054725700678],[2.273142728038223]
[1.9181878554771077],[3.343136396482504],[2.201666417914565]
[1.8079403697930376],[3.260049813264817],[2.250925940757409]
[1.9535167185900106],[3.163761117858663],[2.009688141752617]
[1.988919266786101],[3.1028611598982834],[1.928538022968751]
[2.0076099142793016],[3.026604954878082],[1.8595287285688349]
[2.011485124115397],[2.948559172232445],[1.8001044192984852]
[2.046931254020201],[2.907808283063998],[1.7419978078219787]
[2.06755426297648],[2.848928783163461],[1.6891251275167585]
[2.071416070317261],[2.7917724875952987],[1.6554268982692473]
[2.126437160670679],[2.77188266139608],[1.6622398618909067]
[2.1803968307360515],[2.7487550674191277],[1.6110610893731467]
[2.049958213168399],[2.670263537937266],[1.5823360750719822]
[2.292408344399173],[2.7060460609771857],[1.4953593490880455]
[2.346249769477011],[2.687771573888612],[1.4281266955403784]
[2.558145456923785],[2.689296170715293],[1.3390737894412132]
[2.6164507830684567],[2.668744013579018],[1.2760752232066543]
[2.8167970472180546],[2.6497176211018934],[1.2256724773612298]
[3.0578241468344807],[2.689296170715293],[1.2445906025399127]
[2.910829908907112],[2.713911633539559],[1.2356188895858298]
[2.7279101636081977],[2.6609543748321656],[1.2855420559131088]
[2.527932129251037],[2.6108362703285817],[1.4109340240430646]
[2.2049715493321527],[2.5782929427235772],[1.6003045979741506]
[1.877866160113694],[2.5500562110251317],[1.8746169878383978]
